Más vacunados,Fecha,Porcentaje de vacunados,Pais
12,21/09/2021,63.25,Alemania
14,21/09/2021,66.34,Reino Unido
13,21/09/2021,63.82,Francia
15,21/09/2021,67.12,Italia
20,21/09/2021,80.78,Portugal
10,21/09/2021,55.33,Estados Unidos
9,21/09/2021,54.56,Japón
16,21/09/2021,73.01,China
8,21/09/2021,53.95,Andorra
19,21/09/2021,74.71,Emirato Arabe
5,21/09/2021,32.03,Colombia
2,21/09/2021,25.87,Paraguay
17,21/09/2021,73.32,Chile
3,21/09/2021,26.42,Bolivia
7,21/09/2021,44.53,Argentina
18,21/09/2021,73.95,Uruguay
4,21/09/2021,28.72,Perú
11,21/09/2021,56.60,Ecuador
1,21/09/2021,14.98,Venezuela
6,21/09/2021,38.35,Brasil